1, Eunice GONZALEZ, 1903-10-31, 3880 Stephen Heights, Calgary, T1Y 3A8, AB, 403 676 7721
770, Mike GIBSON, 2008-9-5, 9795 Lowfield Beeches, Winnipeg, R2C 0G3, MB, 306 984 1915
771, Beuatrice PEREZ, 2007-9-3, 9239 Furness Bridge, Moscow, 83843, ID, 855 200 1778
772, Beuatrice PERRY, 1991-8-6, 2600 Coggeshall Road, San Jose, 95111, CA, 408 133 4162
773, Tylor REYES, 1954-6-29, 4681 Whitestone Close, Winnipeg, R2C 0G3, MB, 306 125 4538
774, Tylor KELLY, 1993-5-24, 5636 Brompton Brambles, Gilroy, 95020, CA, 408 725 4966
775, Sharell CRAWFORD, 1938-2-13, 322 Beck East, San Jose, 95111, CA, 408 532 1424
776, Xavier JENKINS, 1927-7-9, 6668 Sir Karl Cohen Square, San Jose, 95111, CA, 408 791 4737
777, Yovonne WEBB, 1976-10-29, 4436 Coggeshall Road, Calgary, T1Y 3A8, AB, 403 732 1924
778, Xavier RICE, 1962-1-22, 3358 Thomson Ridge, Vancouver, V5K 0A8, BC, 604 734 8007
779, Eunice REYES, 1939-1-5, 5892 Linksfield Street, Vancouver, V5K 0A8, BC, 604 447 4280
780, Zaplod SHAW, 1950-1-24, 8719 Gill Ride, Charleston, 29401, SC, 843 405 5902
781, Ogrid TUCKER, 1907-11-29, 9659 Kendal Parade, Gilroy, 95020, CA, 408 692 5879
782, Ryan COX, 1910-7-13, 1458 Carrick Row, Edmonton, T5A 0W4, AB, 780 467 4616
783, Haiyi SMITH, 1917-11-13, 4032 Linksfield Street, Calgary, T1Y 3A8, AB, 403 167 6847
784, Aaron KING, 1905-5-29, 5715 Bond Barton, Vancouver, V5K 0A8, BC, 604 125 5909
785, Rachel COLLINS, 1953-6-13, 8503 Pippin Oaks, Edmonton, T5A 0W4, AB, 780 702 7972
786, Riley WALLACE, 1959-3-23, 4642 French Side, Winnipeg, R2C 0G3, MB, 306 997 6487
787, Phillip HAMILTON, 2004-7-6, 2091 Williams Cloisters, Winnipeg, R2C 0G3, MB, 306 554 4006
788, Kyle ROBERTSON, 1946-6-29, 9911 Mead Heath, Winnipeg, R2C 0G3, MB, 306 160 6651
789, Justin HARRIS, 1970-5-19, 7689 St Margarets Leys, San Jose, 95111, CA, 408 992 8489
790, Veronica HILL, 1943-10-27, 4956 Westbourne Valley, Winnipeg, R2C 0G3, MB, 306 468 1154
791, Ethan COOK, 2018-7-9, 7203 Humber Quadrant, Moscow, 83843, ID, 855 891 2986
792, Mike WARD, 1944-10-20, 9654 Dane Ridings, Calgary, T1Y 3A8, AB, 403 672 2567
793, Grant ELLIS, 1990-11-12, 9087 Sievewright Street, Moscow, 83843, ID, 855 615 7965
794, Xavier ROGERS, 2002-1-17, 6062 Farmlea Road, San Jose, 95111, CA, 408 848 8569
795, Nikole GARCIA, 1966-9-22, 8079 All Saints Down, Calgary, T1Y 3A8, AB, 403 678 5044
796, Justin WALKER, 1905-7-6, 8938 Westbourne Valley, Gilroy, 95020, CA, 408 382 4579
797, Kyle SULLIVAN, 1935-5-22, 1617 Clarence Hills, Calgary, T1Y 3A8, AB, 403 362 1862
798, Adam COLLINS, 1994-2-9, 6211 Chepstow Square, Winnipeg, R2C 0G3, MB, 306 509 4224
799, Samuel MYERS, 1995-1-24, 7216 The Loning, Volgograd, 400001, VO, 506 202 5066
800, Cleo FLORES, 1971-10-18, 1845 Boswell Grange, San Jose, 95111, CA, 408 619 3199
801, William ELLIS, 1971-6-13, 5564 Gresham Downs, Edmonton, T5A 0W4, AB, 780 378 3661
802, Tristiana COX, 2017-12-12, 4867 Langdale Glade, Volgograd, 400001, VO, 506 989 3151
803, Mike FLORES, 1945-4-11, 6479 Livingstone Alley, Volgograd, 400001, VO, 506 247 6536
804, Jevrem HALL, 2006-6-26, 1570 St Margarets Leys, Gilroy, 95020, CA, 408 122 8361
805, Jevrem TORRES, 1955-6-28, 6976 Birchlea Drive, Moscow, 83843, ID, 855 200 2902
806, Jevrem HILL, 1921-5-7, 4854 Stony Acre, Volgograd, 400001, VO, 506 709 6743
807, Jevrem SIMPSON, 1976-4-8, 6263 Beck East, Moscow, 83843, ID, 855 393 2845
808, Samuel GRAHAM, 1917-4-19, 4839 Thomson Ridge, Charleston, 29401, SC, 843 398 8741
809, Jacob WARD, 1975-12-16, 4978 Wolseley Grange, Charleston, 29401, SC, 843 658 1626
810, Ulysiss STEWART, 1916-6-25, 1341 Sir Karl Cohen Square, San Francisco, 94140, CA, 415 709 5579
811, Mavrick SHAW, 1956-3-7, 4352 Boswell Grange, Edmonton, T5A 0W4, AB, 780 326 8170
812, Lilly BRYANT, 1945-5-18, 7236 Dane Ridings, Edmonton, T5A 0W4, AB, 780 754 5072
813, Samuel REYES, 2018-9-8, 3900 St Annes Promenade, Winnipeg, R2C 0G3, MB, 306 765 3127
814, Lilly SHAW, 1970-8-9, 9491 Old Kirton Road, San Jose, 95111, CA, 408 504 4111
815, Ivana ALLEN, 1986-5-30, 5705 Windmill Brow, Volgograd, 400001, VO, 506 266 2798
816, Grant JONES, 1957-11-15, 2843 Marhill Road, Edmonton, T5A 0W4, AB, 780 460 1515
817, Sharell ELLIS, 1977-12-14, 8347 Bow Cliff, Calgary, T1Y 3A8, AB, 403 906 3450
818, Ogrid DAVIS, 1939-10-27, 8960 Gill Ride, Charleston, 29401, SC, 843 746 8590
819, Yovonne BENNETT, 1920-3-1, 3017 Canning Head, Winnipeg, R2C 0G3, MB, 306 191 7144
820, Ivana KELLY, 1927-9-20, 9035 Clifton Edge, Charleston, 29401, SC, 843 109 2593
821, Kristopher WOOD, 2018-12-14, 6228 St Peter's Glebe, Moscow, 83843, ID, 855 471 5799
822, Sharell MILLER, 1962-3-18, 5986 Red Kite Rise, Vancouver, V5K 0A8, BC, 604 891 3610
823, Adam DAVIS, 1970-4-19, 5035 Wentworth Oak, San Francisco, 94140, CA, 415 262 7115
824, Persepone RIVERA, 1982-12-10, 6103 St Annes Promenade, Vancouver, V5K 0A8, BC, 604 979 4199
825, Kristopher MYERS, 1940-7-16, 8403 Lords Nook, Winnipeg, R2C 0G3, MB, 306 724 4156
826, Aaron SMITH, 2017-9-21, 4972 Stephen Heights, Alaxandria, 22304, VA, 905 451 6156
827, Jullian CARTER, 1948-6-26, 9323 Kendal Dell, Edmonton, T5A 0W4, AB, 780 188 8141
828, Ulysiss SIMMONS, 1962-2-9, 2013 Pippin Oaks, Charleston, 29401, SC, 843 215 1867
829, Justin MITCHELL, 2003-5-23, 1042 Kendal Dell, Alaxandria, 22304, VA, 905 187 5183
830, Xavier STEVENS, 1916-8-15, 4515 St Annes Promenade, Gilroy, 95020, CA, 408 500 8553
831, Yovonne ROBERTS, 2004-1-8, 7028 Sir Karl Cohen Square, Vancouver, V5K 0A8, BC, 604 871 4555
832, Beuatrice COLE, 1943-9-24, 6242 Westbourne Valley, Vancouver, V5K 0A8, BC, 604 315 7272
833, Beuatrice ANDERSON, 1997-1-20, 1429 Kendal Parade, Charleston, 29401, SC, 843 705 3369
834, Cleo MASON, 1996-5-30, 9748 Red Kite Rise, Charleston, 29401, SC, 843 250 6217
835, Mavrick SANDERS, 2014-9-30, 3097 Langdale Glade, Alaxandria, 22304, VA, 905 747 2223
836, Justin HARRISON, 1937-10-13, 1865 St Davids Hall, Vancouver, V5K 0A8, BC, 604 312 4106
837, Ryan COLE, 1939-6-29, 8062 Mead Heath, Volgograd, 400001, VO, 506 142 4588
838, Aaron MARTINEZ, 1903-6-23, 3886 Ivy Buildings, San Francisco, 94140, CA, 415 648 7163
839, Flanigan GONZALES, 1917-12-18, 7492 Ivy Buildings, Winnipeg, R2C 0G3, MB, 306 878 6063
840, Kyle HUGHES, 1902-8-4, 7265 Langdale Glade, Vancouver, V5K 0A8, BC, 604 610 8069
841, Mavrick PARKER, 1932-1-23, 4207 Sievewright Street, Gilroy, 95020, CA, 408 183 5771
842, Killian WARD, 1970-12-1, 6580 Stony Acre, San Jose, 95111, CA, 408 490 6169
843, Persepone MURPHY, 1904-4-1, 9197 Forster Mews, San Jose, 95111, CA, 408 910 8440
844, Jullian ORTIZ, 1913-10-14, 6107 High Hall, Calgary, T1Y 3A8, AB, 403 925 5241
845, Mavrick JENKINS, 2010-1-24, 8898 Greenway Moor, Alaxandria, 22304, VA, 905 318 6430
846, Mavrick BRYANT, 2020-4-25, 2558 Gill Ride, Edmonton, T5A 0W4, AB, 780 211 7103
847, Samuel COLEMAN, 1944-8-5, 4379 Beck East, Charleston, 29401, SC, 843 666 6976
848, Sharell GOMEZ, 1991-2-9, 5860 Bow Cliff, Vancouver, V5K 0A8, BC, 604 785 1836
849, Ivana REYNOLDS, 1954-4-19, 5071 Pasture Leaze, Winnipeg, R2C 0G3, MB, 306 983 5510
850, William REYNOLDS, 1912-5-7, 8661 Birchlea Drive, Calgary, T1Y 3A8, AB, 403 328 8803
851, Sharell ADAMS, 1991-4-19, 510 Bow Cliff, Winnipeg, R2C 0G3, MB, 306 635 7520
852, Beuatrice ORTIZ, 1994-3-2, 7237 Lytton Lanes, Calgary, T1Y 3A8, AB, 403 169 1622
853, Kyle SIMMONS, 1960-4-6, 1980 Furness Bridge, Charleston, 29401, SC, 843 645 4913
854, Cleo HARRISON, 1948-7-16, 2167 St Margarets Acre, Calgary, T1Y 3A8, AB, 403 462 8540
855, Sharell EDWARDS, 1958-6-15, 5158 Bow Cliff, Gilroy, 95020, CA, 408 161 5718
856, Xavier WALLACE, 1963-7-14, 7944 High Hall, San Jose, 95111, CA, 408 312 1016
857, Tristiana OWENS, 1937-12-7, 6893 Lords Nook, Gilroy, 95020, CA, 408 371 4570
858, Ethan GARCIA, 2016-8-6, 1251 Longfellow Common, Winnipeg, R2C 0G3, MB, 306 767 2150
859, Rachel WOODS, 2009-1-19, 8132 Brompton Brambles, Vancouver, V5K 0A8, BC, 604 955 6842
860, Killian JACKSON, 1941-9-30, 3676 Clarence Hills, Winnipeg, R2C 0G3, MB, 306 688 2859
861, Killian MARSHALL, 1924-4-2, 4182 Langdale Cloisters, Edmonton, T5A 0W4, AB, 780 613 8887
862, Kristopher RICE, 1958-1-7, 9329 Mead Heath, Moscow, 83843, ID, 855 770 8623
863, Eunice SIMMONS, 1963-12-16, 7223 Greenacre Beeches, Gilroy, 95020, CA, 408 925 4527
864, Ogrid ORTIZ, 1969-1-18, 1334 St Margarets Acre, Edmonton, T5A 0W4, AB, 780 610 2539
865, Killian GARCIA, 1945-10-3, 8423 The Loning, Volgograd, 400001, VO, 506 402 5946
866, Vlad TUCKER, 1980-1-4, 2614 Bow Cliff, San Jose, 95111, CA, 408 437 5651
867, Samuel REED, 1970-5-14, 7813 Clifton Edge, Alaxandria, 22304, VA, 905 767 6046
868, Jevrem GONZALEZ, 1923-12-30, 3159 Old Kirton Road, San Jose, 95111, CA, 408 919 2841
869, David PORTER, 1939-1-3, 3892 Wallis Reach, Vancouver, V5K 0A8, BC, 604 156 1013
870, John SANCHEZ, 1935-11-22, 6802 Bernard Wood, Moscow, 83843, ID, 855 720 4342
871, Grant JENKINS, 2006-6-3, 8724 Greenacre Beeches, San Francisco, 94140, CA, 415 719 7627
872, Mavrick WILSON, 1972-4-20, 5176 Lytton Lanes, Gilroy, 95020, CA, 408 420 7281
873, Cleo HOWARD, 1941-9-15, 6991 Blairbeg Place, Alaxandria, 22304, VA, 905 473 8413
874, Mike JONES, 1950-6-23, 9065 Lords Nook, Winnipeg, R2C 0G3, MB, 306 227 3336
875, Mike LOPEZ, 1921-2-20, 1444 Spencer Beeches, San Jose, 95111, CA, 408 286 4487
876, Tylor CARTER, 1927-6-1, 9212 Gill Ride, San Francisco, 94140, CA, 415 488 8539
877, Lilly REYNOLDS, 1996-9-19, 7664 Langdale Cloisters, Volgograd, 400001, VO, 506 657 5698
878, Vlad DAVIS, 1974-2-13, 1330 Egypt Road, Edmonton, T5A 0W4, AB, 780 800 3335
879, Kristopher COLLINS, 1919-10-30, 5010 Marhill Road, San Francisco, 94140, CA, 415 489 2163
880, Adam WASHINGTON, 2014-10-26, 1318 Stephen Heights, Winnipeg, R2C 0G3, MB, 306 302 1309
881, William ROBINSON, 1951-4-25, 637 St Augustine Road, Edmonton, T5A 0W4, AB, 780 456 1175
882, Quanny WOOD, 1936-6-21, 8281 St Peter's Glebe, San Jose, 95111, CA, 408 597 2786
883, Ivana GRAHAM, 1925-8-22, 4279 Linksfield Street, San Francisco, 94140, CA, 415 126 3242
884, Jullian MORGAN, 1945-1-10, 85 Clifton Edge, Edmonton, T5A 0W4, AB, 780 681 1787
885, Quanny CRAWFORD, 1961-5-19, 6163 Vernon Celyn, Calgary, T1Y 3A8, AB, 403 556 7751
886, Aaron RIVERA, 1952-2-13, 6667 Marhill Road, Gilroy, 95020, CA, 408 668 5981
887, Xavier LONG, 1912-11-24, 9172 Mornington Grove, Alaxandria, 22304, VA, 905 521 3890
888, Quanny ROBINSON, 1974-9-9, 8200 Birchlea Drive, Edmonton, T5A 0W4, AB, 780 726 6413
889, Riley HOWARD, 2007-6-28, 1097 Webb Acre, Edmonton, T5A 0W4, AB, 780 267 2841
890, John COX, 1924-7-17, 6719 Webb Acre, Vancouver, V5K 0A8, BC, 604 177 4831
891, Beuatrice GONZALES, 1963-5-25, 3555 Westbourne Valley, Charleston, 29401, SC, 843 987 3324
892, Heugh ROBERTSON, 1908-5-31, 2843 Woodburn Road, Vancouver, V5K 0A8, BC, 604 168 2725
893, Eunice SANDERS, 1919-12-8, 3705 St Augustine Road, Winnipeg, R2C 0G3, MB, 306 829 2985
894, Quanny PERRY, 1954-3-19, 7475 Leaverholme Close, Winnipeg, R2C 0G3, MB, 306 384 7413
895, Killian YOUNG, 1916-11-4, 5113 Westbourne Valley, Edmonton, T5A 0W4, AB, 780 634 6466
896, Kristopher COOK, 1934-1-30, 1438 Cowley Reach, Charleston, 29401, SC, 843 730 1557
897, Cleo MORALES, 1939-3-24, 2485 Edinburgh Parc, San Jose, 95111, CA, 408 801 4596
898, Cleo COLE, 1901-9-17, 555 Langdale Terrace, Gilroy, 95020, CA, 408 584 8279
899, Vlad LONG, 1938-1-7, 679 Torrington Furlong, Charleston, 29401, SC, 843 118 2894
900, Olyiv YOUNG, 1906-11-3, 5192 Whitestone Close, Calgary, T1Y 3A8, AB, 403 319 7537
901, Ivana FOSTER, 1909-8-11, 2391 Spencer Beeches, Charleston, 29401, SC, 843 804 1793
902, Quanny JOHNSON, 1912-2-29, 8893 Watling Isaf, Vancouver, V5K 0A8, BC, 604 399 5844
903, Killian RAMOS, 1905-6-10, 6218 Hampshire Wynd, Edmonton, T5A 0W4, AB, 780 140 8493
904, Eunice WEST, 1913-1-26, 1664 Knowsley Mount, Alaxandria, 22304, VA, 905 149 8054
905, Adam BOYD, 1916-8-22, 4564 Woodbine Lodge, Gilroy, 95020, CA, 408 593 2524
906, Tristiana SANCHEZ, 1970-5-15, 5472 Lowfield Beeches, San Francisco, 94140, CA, 415 639 8682
907, Ivana WRIGHT, 1958-7-27, 9617 Watling Isaf, Charleston, 29401, SC, 843 772 2870
908, Rachel PHILLIPS, 1926-12-1, 9852 Beeston Hawthorns, Calgary, T1Y 3A8, AB, 403 382 2655
909, Heugh GONZALEZ, 1963-11-2, 5038 Melbourne Meadows, Vancouver, V5K 0A8, BC, 604 452 2080
910, Aaron RICE, 1975-6-22, 7048 Torrington Furlong, Edmonton, T5A 0W4, AB, 780 403 3188
911, Ryan MARTIN, 1919-10-26, 2372 Chepstow Square, Winnipeg, R2C 0G3, MB, 306 433 5585
912, Ivana WRIGHT, 1971-4-16, 5907 Hampshire Wynd, Edmonton, T5A 0W4, AB, 780 564 8652
913, Ivana HENDERSON, 1989-12-7, 4307 Stanford Grove, Edmonton, T5A 0W4, AB, 780 753 5990
914, Haiyi JONES, 1909-1-17, 5234 Beeston Hawthorns, Winnipeg, R2C 0G3, MB, 306 265 1002
915, Flanigan WARREN, 2006-12-8, 4066 Chepstow Square, Calgary, T1Y 3A8, AB, 403 127 1021
916, Beuatrice BROWN, 1987-5-9, 841 St Annes Promenade, Edmonton, T5A 0W4, AB, 780 980 8856
917, Ivana LONG, 2016-5-3, 1687 Coggeshall Road, Alaxandria, 22304, VA, 905 388 7512
918, Mavrick STEVENS, 1984-10-31, 4668 Hampshire Wynd, San Jose, 95111, CA, 408 991 7057
919, Justin POWELL, 1988-7-9, 9432 Wentworth Oak, Vancouver, V5K 0A8, BC, 604 143 7209
920, Mike PORTER, 1924-11-26, 9894 Pound Loan, San Jose, 95111, CA, 408 608 3232
921, Ogrid PORTER, 1907-9-13, 4709 Windmill Brow, Winnipeg, R2C 0G3, MB, 306 228 6607
922, Jevrem PORTER, 2016-9-6, 7512 Gresham Downs, Edmonton, T5A 0W4, AB, 780 920 3881
923, Veronica WHITE, 2004-9-12, 8204 Linksfield Street, Alaxandria, 22304, VA, 905 608 5689
924, Adam TUCKER, 1914-4-3, 5475 Woodbine Lodge, Calgary, T1Y 3A8, AB, 403 971 3553
925, Jevrem HUNTER, 1995-10-21, 1229 Second Bank, San Francisco, 94140, CA, 415 965 1088
926, Mavrick PRICE, 1910-4-16, 7641 Thomson Ridge, Edmonton, T5A 0W4, AB, 780 123 1744
927, Persepone GOMEZ, 2002-4-20, 2287 Pasture Leaze, Alaxandria, 22304, VA, 905 825 4534
928, Quanny PHILLIPS, 1905-5-18, 8640 Humber Quadrant, San Jose, 95111, CA, 408 244 5526
929, Zaplod RUSSELL, 1974-2-14, 802 Leighton Hawthorns, Vancouver, V5K 0A8, BC, 604 431 7403
930, Justin BENNETT, 1952-10-25, 4324 Windmill Brow, Calgary, T1Y 3A8, AB, 403 584 1516
931, Ethan PETERSON, 1990-12-26, 2565 Whin Place, Winnipeg, R2C 0G3, MB, 306 204 3779
932, Flanigan MASON, 1996-7-8, 2520 St Davids Hall, Vancouver, V5K 0A8, BC, 604 684 1802
933, Xavier THOMAS, 1900-9-28, 3965 St Combs Court, Winnipeg, R2C 0G3, MB, 306 789 7592
934, Olyiv MURPHY, 1990-7-27, 9837 St Annes Promenade, Calgary, T1Y 3A8, AB, 403 582 3393
935, Beuatrice ORTIZ, 1954-3-12, 1443 Ambrose Green, Alaxandria, 22304, VA, 905 527 2335
936, Rachel SIMMONS, 1937-7-25, 613 Red Kite Rise, Charleston, 29401, SC, 843 260 3868
937, Vlad HOLMES, 2015-7-24, 2431 Sievewright Street, Moscow, 83843, ID, 855 715 2442
938, Kristopher MYERS, 1955-3-13, 9162 Webb Acre, Calgary, T1Y 3A8, AB, 403 884 4569
939, Geralt RODRIGUEZ, 1964-11-11, 2930 Fairey Street, Calgary, T1Y 3A8, AB, 403 308 1711
940, Ethan BUTLER, 1957-10-4, 4419 Longfellow Common, San Francisco, 94140, CA, 415 927 5958
941, Geralt BOYD, 1954-11-28, 7694 Red Kite Rise, San Jose, 95111, CA, 408 996 1246
942, Sharell WASHINGTON, 1920-2-23, 6782 Greenacre Beeches, Calgary, T1Y 3A8, AB, 403 644 4243
943, Eunice EVANS, 2018-4-27, 7387 Westbourne Valley, San Jose, 95111, CA, 408 167 4226
944, Ulysiss COLLINS, 1993-8-25, 4875 Forbes Bottom, San Francisco, 94140, CA, 415 847 4867
945, Ulysiss HAYES, 1990-1-2, 2640 Second Bank, Calgary, T1Y 3A8, AB, 403 708 3622
946, Adam ROBERTS, 1931-5-14, 5056 Anson Fields, Calgary, T1Y 3A8, AB, 403 207 1550
947, Nikole TURNER, 1963-9-18, 1732 Wentworth Oak, San Francisco, 94140, CA, 415 408 6204
948, Tylor REED, 2014-4-29, 3632 Bond Barton, Edmonton, T5A 0W4, AB, 780 666 1761
949, Yovonne GOMEZ, 2013-11-29, 2641 St Annes Promenade, Winnipeg, R2C 0G3, MB, 306 660 3795
950, Nikole CARTER, 2017-6-11, 3364 Stephen Heights, San Francisco, 94140, CA, 415 327 4568
951, Jevrem ADAMS, 1916-12-20, 4296 Ambrose Green, Winnipeg, R2C 0G3, MB, 306 197 2325
952, Justin FREEMAN, 1908-5-6, 9209 Langdale Cloisters, Calgary, T1Y 3A8, AB, 403 784 5071
953, Eunice HENRY, 1912-11-27, 3325 Greenway Moor, Winnipeg, R2C 0G3, MB, 306 161 8221
954, Cleo WHITE, 1960-9-1, 7242 Carrick Row, Volgograd, 400001, VO, 506 100 1225
955, Quanny WILLIAMS, 1940-2-13, 4072 Malton Poplars, Volgograd, 400001, VO, 506 566 5557
956, Eunice ROGERS, 2001-11-15, 9327 St Margarets Acre, Vancouver, V5K 0A8, BC, 604 131 8474
957, Aaron TURNER, 2008-5-30, 7832 Anson Fields, San Francisco, 94140, CA, 415 198 3806
958, Olyiv SHAW, 2003-10-7, 8296 Spencer Beeches, Gilroy, 95020, CA, 408 265 7840
959, Grant STEVENS, 1914-6-3, 437 Greenacre Beeches, Vancouver, V5K 0A8, BC, 604 901 4263
960, Flanigan LOPEZ, 2016-12-18, 7538 Leaverholme Close, San Francisco, 94140, CA, 415 440 6568
961, Killian TUCKER, 1975-11-25, 9161 Sir Karl Cohen Square, Moscow, 83843, ID, 855 507 3495
962, Ulysiss STEWART, 1993-3-18, 2015 St Peter's Glebe, Moscow, 83843, ID, 855 389 7191
963, Jullian WASHINGTON, 1977-9-27, 4091 Egypt Road, Winnipeg, R2C 0G3, MB, 306 473 1830
964, Rachel THOMPSON, 1991-1-5, 5023 Langdale Cloisters, Gilroy, 95020, CA, 408 263 2489
965, Olyiv ALLEN, 2012-6-18, 7829 St Margarets Leys, Edmonton, T5A 0W4, AB, 780 263 8271
966, Mavrick MYERS, 1991-6-1, 2112 St Annes Promenade, Volgograd, 400001, VO, 506 563 7030
967, Vlad JACKSON, 1914-12-31, 4248 St Augustine Road, Winnipeg, R2C 0G3, MB, 306 931 8950
968, Aaron CRAWFORD, 1962-10-8, 6693 Farmlea Road, Charleston, 29401, SC, 843 938 2324
969, Tristiana WALKER, 1985-11-21, 883 Leaverholme Close, Vancouver, V5K 0A8, BC, 604 189 6142
970, Mike ADAMS, 2007-3-28, 5438 Langdale Terrace, San Jose, 95111, CA, 408 398 6680
971, Kristopher WATSON, 1947-9-20, 1268 St Combs Court, Alaxandria, 22304, VA, 905 543 3013
972, Riley SULLIVAN, 1938-7-3, 8723 Wolseley Grange, Calgary, T1Y 3A8, AB, 403 640 7380
973, Rachel YOUNG, 2012-6-30, 5717 Lytton Lanes, Volgograd, 400001, VO, 506 145 3948
974, Killian COX, 1940-6-26, 3424 Dane Ridings, Moscow, 83843, ID, 855 254 5846
975, Justin SMITH, 1937-12-9, 2377 Watling Isaf, San Jose, 95111, CA, 408 326 1793
976, Aaron HERNANDEZ, 1918-2-24, 2029 Pound Loan, Charleston, 29401, SC, 843 558 7515
977, Jevrem BAILEY, 1959-1-12, 9998 Ambrose Green, Moscow, 83843, ID, 855 733 3977
978, Haiyi JACKSON, 1949-6-28, 2996 Vernon Celyn, Calgary, T1Y 3A8, AB, 403 245 7616
979, Nikole DAVIS, 1992-1-26, 7586 Wallis Reach, Winnipeg, R2C 0G3, MB, 306 372 6587
980, Geralt BOYD, 1972-7-18, 5023 Egypt Road, San Jose, 95111, CA, 408 840 4872
981, Heugh OWENS, 1915-5-28, 1134 Sir Karl Cohen Square, Winnipeg, R2C 0G3, MB, 306 953 6045
982, Ryan WASHINGTON, 1992-11-9, 1958 Mead Heath, San Jose, 95111, CA, 408 673 2400
983, Adam RUSSELL, 2018-6-10, 9707 Chepstow Square, Winnipeg, R2C 0G3, MB, 306 531 3939
984, Tristiana MCDONALD, 1967-2-14, 1820 Bernard Wood, San Francisco, 94140, CA, 415 212 4972
985, Persepone MOORE, 1916-1-26, 2862 Dane Ridings, Gilroy, 95020, CA, 408 686 4321
986, Beuatrice REYES, 1901-12-20, 671 Gresham Downs, Vancouver, V5K 0A8, BC, 604 661 2905
987, Jullian RAMIREZ, 1968-7-30, 5131 Webb Acre, Moscow, 83843, ID, 855 421 1631
988, David MASON, 1967-8-11, 9708 Sievewright Street, San Francisco, 94140, CA, 415 144 4100
989, Justin HARRIS, 1966-4-12, 2467 Second Bank, Volgograd, 400001, VO, 506 352 5790
990, Geralt HUNTER, 1989-11-20, 7689 Pound Loan, San Jose, 95111, CA, 408 208 1925
991, Kristopher TURNER, 1928-7-10, 281 Trent Top, Moscow, 83843, ID, 855 536 3297
992, Phillip HOLMES, 1990-8-25, 5751 Wallis Reach, Calgary, T1Y 3A8, AB, 403 345 1162
993, Persepone WALKER, 1984-7-30, 3020 Knowsley Mount, San Francisco, 94140, CA, 415 954 8600
994, Jacob TURNER, 1911-9-1, 634 Thomson Ridge, Moscow, 83843, ID, 855 104 3726
995, Ryan POWELL, 1946-9-13, 5116 St Davids Hall, Moscow, 83843, ID, 855 883 7423
996, David TUCKER, 1989-5-10, 8976 Marhill Road, Calgary, T1Y 3A8, AB, 403 487 6528
997, Aaron STEWART, 1970-4-4, 2009 Second Bank, Gilroy, 95020, CA, 408 824 8892
998, Ivana WILLIAMS, 2005-4-17, 7831 Trent Top, Winnipeg, R2C 0G3, MB, 306 351 3957
999, Ivana HARRISON, 1995-2-14, 2861 Furness Bridge, Calgary, T1Y 3A8, AB, 403 189 6138
1000, David MORGAN, 1976-4-1, 1695 Forbes Bottom, Vancouver, V5K 0A8, BC, 604 805 5105
